
Hyperopt trials
tid,loss,learning_rate,batch_size,time, num_epochs
0,0.020107,0.000036,0,5462.961040, 150
1,0.018058,0.000098,0,10181.228589, 150
2,0.572712,0.000052,3,6012.271094, 150
3,0.009480,0.000052,0,11963.019903, 150
4,0.058989,0.000098,1,3246.641791, 150
5,0.008285,0.000077,0,14248.274966, 149
6,0.062519,0.000053,0,3580.573597, 150
7,0.167607,0.000100,3,3901.028676, 150
8,0.176852,0.000089,3,18840.425809, 150
9,0.090119,0.000056,1,7704.990074, 150
10,1.000200,0.000016,2,9586.059655, 150
11,0.098040,0.000043,1,4049.928073, 150
12,0.019817,0.000039,0,24554.626279, 150
13,0.218518,0.000041,2,6745.883827, 150
14,0.060454,0.000087,1,12166.604736, 150
15,0.072453,0.000042,0,7381.159979, 150
16,0.100719,0.000041,0,6887.159939, 150
17,0.053888,0.000057,0,5661.977592, 150
18,0.146665,0.000097,3,8440.948271, 150
19,0.464448,0.000029,2,35909.855174, 150

Best parameters:{'batch_size': 64, 'learning_rate': 7.691390011968563e-05, 'n_classes': 9, 'num_fuzzy_terms': (11, 15, 11)}

Best Time taken: 14248.274966
