
Hyperopt trials
tid,loss,learning_rate,batch_size,time
0,1.169853,0.000076,2,46.233489
1,1.127811,0.000087,2,46.338314
2,0.909600,0.000099,1,66.845509
3,0.857713,0.000071,0,116.481922
4,1.392421,0.000061,3,34.698615
5,1.337781,0.000040,2,46.017307
6,1.435609,0.000047,3,35.302378
7,1.159690,0.000078,2,46.591250
8,0.957120,0.000079,1,67.230918
9,1.348399,0.000075,3,35.708972
10,1.429785,0.000012,1,67.937030
11,1.455699,0.000010,1,68.395059
12,1.476875,0.000018,2,47.495938
13,1.463223,0.000039,3,37.148904
14,0.838171,0.000089,0,112.811091
15,1.353602,0.000074,3,37.178875
16,0.978780,0.000072,1,68.463885
17,1.328001,0.000042,2,48.054866
18,1.024659,0.000031,0,113.322397
19,1.321552,0.000043,2,48.285122

Best parameters:{'batch_size': 64, 'learning_rate': 8.878741925407075e-05, 'n_classes': 5}

Best Time taken: 112.811091
