
Hyperopt trials
tid,loss,learning_rate,batch_size,time
0,0.691253,0.000032,0,486.758064
1,1.091840,0.000055,2,291.200450
2,1.499874,0.000011,2,253.632809
3,1.034150,0.000062,2,292.622944
4,1.098487,0.000014,0,426.911633
5,0.819302,0.000098,2,299.093527
6,1.281198,0.000017,1,299.417276
7,0.423986,0.000069,0,472.321560
8,1.157888,0.000089,3,260.212995
9,0.413398,0.000073,0,471.601681
10,1.282287,0.000061,3,238.970134
11,0.399637,0.000079,0,471.545381
12,0.955905,0.000074,2,293.336410
13,1.377915,0.000042,3,238.263980
14,1.323273,0.000053,3,238.907544
15,0.636748,0.000036,0,481.245962
16,0.615498,0.000075,1,358.077245
17,0.598749,0.000078,1,359.445071
18,0.421717,0.000069,0,472.104455
19,1.261058,0.000018,1,300.915314

Best parameters:{'batch_size': 64, 'learning_rate': 7.910347304293808e-05, 'n_classes': 5}

Best Time taken: 471.545381
