
Hyperopt trials
tid,loss,learning_rate,batch_size,time, num_epochs
0,1.595954,0.000036,0,285.637046, 150
1,1.593351,0.000098,0,446.611498, 150
2,1.606595,0.000052,3,252.591343, 150
3,1.598696,0.000052,0,510.529306, 150
4,1.592913,0.000098,1,159.993537, 150
5,1.594672,0.000077,0,816.194654, 150
6,1.589194,0.000053,0,346.249952, 150
7,1.602202,0.000100,3,248.351437, 150
8,1.605381,0.000089,3,1008.357341, 150
9,1.600595,0.000056,1,560.979621, 150
10,1.607903,0.000016,2,700.273668, 150
11,1.600406,0.000043,1,344.922626, 150
12,1.599755,0.000039,0,872.953685, 150
13,1.605671,0.000041,2,559.209566, 150
14,1.600718,0.000087,1,978.509671, 150
15,1.596963,0.000042,0,508.145591, 150
16,1.597439,0.000041,0,808.300593, 150
17,1.576695,0.000057,0,595.868458, 150
18,1.603267,0.000097,3,474.516533, 150
19,1.605814,0.000029,2,185.477135, 150

Best parameters:{'batch_size': 64, 'learning_rate': 5.7498539276937644e-05, 'n_classes': 5, 'num_fuzzy_terms': (5, 13, 8)}

Best Time taken: 595.868458
